"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Numerator,Denominator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject",Outcome,"Program Type"
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.7%,,3077,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.5%,,28347,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67.5%,,6699,"All Students","Children with disabilities",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.7%,,35260,"All Students","Economically Disadvantaged",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65%,,2819,"All Students","English Learner",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",48%,,579,"All Students","Foster care students",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",58.6%,,3764,"All Students",Homeless,,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.7%,,11111,"All Students",Hispanic/Latino,,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.0%,,137110,"All Students","All Students in SEA",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,223,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94.2%,,5905,"All Students","Asian/Pacific Islander",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94.4%,,5787,"All Students",Asian,,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,118,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.0%,,18942,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.1%,,4648,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.1%,,90091,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.6%,,25645,"All Students","Children with disabilities",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.1%,,54797,"All Students","Economically Disadvantaged",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67.5%,,5406,"All Students","English Learner",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",49%,,917,"All Students","Foster care students",,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,2693,"All Students",Homeless,,,,,
2021-2022,PENNSYLVANIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.0%,,17301,"All Students",Hispanic/Latino,,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.8%,,24332,"All Students","All Students in SEA",,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",57%,,23,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,30,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68.3%,,6144,"All Students","Children with disabilities",,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.0%,,20369,"All Students","Economically Disadvantaged",,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,75,"All Students","English Learner",,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,2,"All Students","Foster care students",,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",55%,,304,"All Students",Homeless,,,,,
2021-2022,"PUERTO RICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.8%,,24279,"All Students",Hispanic/Latino,,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.3%,,11329,"All Students","All Students in SEA",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,99,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93%,,360,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93%,,338,"All Students",Asian,,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=80%,,22,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80%,,1055,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,440,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.2%,,6222,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",66%,,1797,"All Students","Children with disabilities",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75.7%,,5998,"All Students","Economically Disadvantaged",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67%,,1219,"All Students","English Learner",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",52%,,66,"All Students","Foster care students",,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64%,,207,"All Students",Homeless,,,,,
2021-2022,"RHODE ISLAND",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.9%,,3153,"All Students",Hispanic/Latino,,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.8%,,58534,"All Students","All Students in SEA",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,493,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,1522,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.8%,,20048,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.9%,,30291,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",57.9%,,7786,"All Students","Children with disabilities",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.4%,,31670,"All Students","Economically Disadvantaged",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.0%,,3930,"All Students","English Learner",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",42%,,633,"All Students","Foster care students",,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,1609,"All Students",Homeless,,,,,
2021-2022,"SOUTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.1%,,6176,"All Students",Hispanic/Latino,,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.1%,,10148,"All Students","All Students in SEA",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",46%,,1142,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,176,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,164,"All Students",Asian,,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=50%,,12,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,319,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,419,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.5%,,7455,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,942,"All Students","Children with disabilities",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60%,,2117,"All Students","Economically Disadvantaged",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,203,"All Students","English Learner",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",41%,,71,"All Students","Foster care students",,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",45%,,66,"All Students",Homeless,,,,,
2021-2022,"SOUTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,637,"All Students",Hispanic/Latino,,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.4%,,71404,"All Students","All Students in SEA",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,330,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96%,,2030,"All Students","Asian/Pacific Islander",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",97%,,1876,"All Students",Asian,,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92%,,154,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.7%,,16711,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93.5%,,43840,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.0%,,8779,"All Students","Children with disabilities",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.6%,,26604,"All Students","Economically Disadvantaged",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68.0%,,3648,"All Students","English Learner",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60%,,1103,"All Students","Foster care students",,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,2490,"All Students",Homeless,,,,,
2021-2022,TENNESSEE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.1%,,8493,"All Students",Hispanic/Latino,,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.7%,,396228,"All Students","All Students in SEA",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,1263,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.6%,,19692,"All Students","Asian/Pacific Islander",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.8%,,19086,"All Students",Asian,,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,606,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.6%,,50603,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.6%,,9257,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93.8%,,107454,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.1%,,36554,"All Students","Children with disabilities",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.4%,,214918,"All Students","Economically Disadvantaged",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.1%,,55131,"All Students","English Learner",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",62%,,1735,"All Students","Foster care students",,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74.8%,,17568,"All Students",Homeless,,,,,
2021-2022,TEXAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.0%,,207959,"All Students",Hispanic/Latino,,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.2%,,51506,"All Students","All Students in SEA",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,558,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,1797,"All Students","Asian/Pacific Islander",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91%,,930,"All Students",Asian,,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80%,,867,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,761,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,1414,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.6%,,37358,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.5%,,5057,"All Students","Children with disabilities",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.5%,,12143,"All Students","Economically Disadvantaged",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.3%,,3085,"All Students","English Learner",,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,956,"All Students",Homeless,,,,,
2021-2022,UTAH,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.0%,,9618,"All Students",Hispanic/Latino,,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.8%,,5667,"All Students","All Students in SEA",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,19,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,146,"All Students","Asian/Pacific Islander",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,141,"All Students",Asian,,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,5,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,148,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80%,,215,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.4%,,4960,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70%,,983,"All Students","Children with disabilities",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,2462,"All Students","Economically Disadvantaged",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,101,"All Students","English Learner",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",50%,,123,"All Students","Foster care students",,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",58%,,151,"All Students",Homeless,,,,,
2021-2022,VERMONT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83%,,179,"All Students",Hispanic/Latino,,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.1%,,98737,"All Students","All Students in SEA",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,202,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.4%,,7741,"All Students","Asian/Pacific Islander",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.5%,,7590,"All Students",Asian,,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91%,,151,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.1%,,21084,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.0%,,5311,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.8%,,47891,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70.2%,,12287,"All Students","Children with disabilities",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.4%,,37505,"All Students","Economically Disadvantaged",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.2%,,10872,"All Students","English Learner",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60%,,295,"All Students","Foster care students",,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67%,,1105,"All Students",Homeless,,,,,
2021-2022,VIRGINIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.9%,,16508,"All Students",Hispanic/Latino,,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.6%,,84839,"All Students","All Students in SEA",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68%,,1014,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.7%,,8325,"All Students","Asian/Pacific Islander",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.5%,,7253,"All Students",Asian,,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,1072,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.1%,,3931,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.7%,,6467,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.7%,,44616,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",66.4%,,10800,"All Students","Children with disabilities",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.5%,,43710,"All Students","Economically Disadvantaged",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70.5%,,8922,"All Students","English Learner",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",54%,,621,"All Students","Foster care students",,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",61.8%,,8776,"All Students",Homeless,,,,,
2021-2022,WASHINGTON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.0%,,20486,"All Students",Hispanic/Latino,,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.2%,,18485,"All Students","All Students in SEA",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=80%,,21,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=95%,,132,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=95%,,122,"All Students",Asian,,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=50%,,10,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,819,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,512,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.5%,,16621,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83%,,2815,"All Students","Children with disabilities",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.3%,,9140,"All Students","Economically Disadvantaged",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81%,,144,"All Students","English Learner",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65%,,782,"All Students","Foster care students",,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,1384,"All Students",Homeless,,,,,
2021-2022,"WEST VIRGINIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,380,"All Students",Hispanic/Latino,,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.3%,,65909,"All Students","All Students in SEA",,,,,
2021-2022,WISCONSIN,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80%,,689,"All Students","American Indian/Alaska Native/Native American",,,,,
